result,table,_start,_stop,_time,_value,Ex,Id,SIC,SeqNo,Type,_field,_measurement
Query 1,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,9.0,AM,Security_500,INDUSTRIAL,1,T,TradePrice,findata
Query 1,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,1,T,TradePrice,findata
Query 1,1,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,8100.0,AM,Security_500,INDUSTRIAL,1,T,TradeSize,findata
Query 1,1,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,1,T,TradeSize,findata
Query 1,2,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,8.9688,AM,Security_500,INDUSTRIAL,10,CT,TradePrice,findata
Query 1,2,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,10,CT,TradePrice,findata
Query 1,3,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,3500.0,AM,Security_500,INDUSTRIAL,10,CT,TradeSize,findata
Query 1,3,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,10,CT,TradeSize,findata
Query 1,4,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,8.9688,AM,Security_500,INDUSTRIAL,11,CT,TradePrice,findata
Query 1,4,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,11,CT,TradePrice,findata
Query 1,5,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,100.0,AM,Security_500,INDUSTRIAL,11,CT,TradeSize,findata
Query 1,5,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,11,CT,TradeSize,findata
Query 1,6,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,9.0,AM,Security_500,INDUSTRIAL,12,Q,BidPrice,findata
Query 1,6,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,12,Q,BidPrice,findata
Query 1,7,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,9500.0,AM,Security_500,INDUSTRIAL,12,Q,BidSize,findata
Query 1,7,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,,AM,Security_500,INDUSTRIAL,12,Q,BidSize,findata
