result,table,Id,Loss,_start,_stop,_time,today,yesteday
_result,0,Security_241,1100.0,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:55:08+00:00,0.3438,0.0312
_result,0,Security_322,400.0,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:59:21+00:00,0.25,0.0625
_result,0,Security_874,220.0,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:45:45+00:00,0.6875,0.3125
_result,0,Security_656,148.3871,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:57:02+00:00,1.4375,0.9688
_result,0,Security_999,128.5714,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:58:57+00:00,0.2812,0.2188
_result,0,Security_468,119.2308,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:58:46+00:00,0.9688,0.8125
_result,0,Security_633,117.3913,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:55:23+00:00,2.5312,2.1562
_result,0,Security_326,116.129,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:19:53+00:00,2.25,1.9375
_result,0,Security_152,113.3333,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:55:01+00:00,1.0625,0.9375
_result,0,Security_717,112.5,2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2022-11-21 15:45:10+00:00,3.375,3.0
