result,table,_start,_stop,_time,_value,Ex,Id,SIC,SeqNo,Type,_field,_measurement
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,1,CT,TradePrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,1,CT,TradePrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,1,CT,TradeSize,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,1,CT,TradeSize,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,10,Q,BidPrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,10,Q,BidPrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,10,Q,BidSize,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,10,Q,BidSize,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,11,Q,AskPrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,11,Q,AskPrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,11,Q,AskSize,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,11,Q,AskSize,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,12,T,TradePrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 11:00:00+00:00,0,AM,Security_193,COMPUTERS,12,T,TradePrice,findata
Query 5,0,2022-11-21T08:00:00+00:00,2022-11-21T11:00:00+00:00,2022-11-21 09:00:00+00:00,1,AM,Security_193,COMPUTERS,12,T,TradeSize,findata
