,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,1000_multi_user__./queries/query_2.flux,1,1670274633.2883,1670274808.8797,175.5913,1565,False
1,1000_multi_user__./queries/query_3.flux,2,1670274809.9573,1670274850.2432,40.286,10,False
2,1000_multi_user__./queries/query_4.flux,3,1670274851.2904,1670274873.706,22.4156,10,False
3,1000_multi_user__./queries/query_5.flux,4,1670274876.5326,1670274932.951,56.4184,18176,False
4,1000_multi_user__./queries/query_6.flux,5,1670274936.2355,1670275123.9753,187.7398,10,False
5,1000_multi_user__./queries/query_1.flux,6,1670275124.3813,1670275162.4712,38.0899,18804,False
0,1000_multi_user__./queries/query_2.flux,1,1670274633.2902,1670274808.7809,175.4907,1565,False
1,1000_multi_user__./queries/query_3.flux,2,1670274809.9284,1670274850.2509,40.3225,10,False
2,1000_multi_user__./queries/query_4.flux,3,1670274851.2873,1670274873.6928,22.4055,10,False
3,1000_multi_user__./queries/query_5.flux,4,1670274876.4025,1670274933.0556,56.653,18176,False
4,1000_multi_user__./queries/query_6.flux,5,1670274936.2086,1670275123.9773,187.7688,10,False
5,1000_multi_user__./queries/query_1.flux,6,1670275124.388,1670275162.499,38.1111,18804,False
0,1000_multi_user__./queries/query_2.flux,1,1670274633.2908,1670274808.8519,175.5611,1565,False
1,1000_multi_user__./queries/query_3.flux,2,1670274809.9499,1670274850.2584,40.3085,10,False
2,1000_multi_user__./queries/query_4.flux,3,1670274851.2899,1670274873.698,22.408,10,False
3,1000_multi_user__./queries/query_5.flux,4,1670274876.3327,1670274932.7822,56.4495,18176,False
4,1000_multi_user__./queries/query_6.flux,5,1670274936.2351,1670275124.0069,187.7718,10,False
5,1000_multi_user__./queries/query_1.flux,6,1670275124.4042,1670275162.469,38.0649,18804,False
