result,table,_start,_stop,Ex,Id,SIC,SeqNo,Type,_measurement,sum1,sum2,Volume
_result,0,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,LN,Security_0,COMPUTERS,1,T,findata,5500,522500.0,95.0
_result,1,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,NY,Security_1,PHARMACEUTICALS,11,CT,findata,1600,6500.0,4.0625
_result,2,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_10,BANKING,101,T,findata,6500,456625.0,70.25
_result,3,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_100,SOFTWARE,101,CT,findata,8600,296700.0,34.5
_result,4,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,NY,Security_101,FINANCIAL,100,T,findata,1700,71878.04,42.2812
_result,5,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_102,ENTERTAINMENT,10,CT,findata,100,8800.0,88.0
_result,6,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,LN,Security_103,BANKING,1,T,findata,6400,582400.0,91.0
_result,7,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,LN,Security_104,CONSTRUCTION,104,T,findata,5900,578384.08,98.0312
_result,8,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_105,MEDICAL,12,T,findata,1000,53000.0,53.0
_result,9,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,TK,Security_106,COMPUTERS,1,CT,findata,7300,503700.0,69.0
_result,10,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,NY,Security_107,FINANCIAL,100,CT,findata,6000,235125.0,39.1875
_result,11,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,TK,Security_108,INDUSTRIAL,100,CT,findata,9400,847175.0,90.125
_result,12,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,TK,Security_109,BANKING,1,CT,findata,5300,31800.0,6.0
_result,13,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_11,FINANCIAL,103,T,findata,9600,703499.52,73.2812
_result,14,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_110,MEDICAL,10,CT,findata,7000,175656.6,25.0938
_result,15,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,LN,Security_111,COMPUTERS,1,T,findata,3400,159800.0,47.0
_result,16,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,AM,Security_112,PHARMACEUTICALS,101,CT,findata,500,43937.5,87.875
_result,17,2022-11-21T00:00:00+00:00,2022-11-22T00:00:00+00:00,LN,Security_113,PHARMACEUTICALS,11,T,findata,4000,36625.0,9.1562
