,Unnamed: 0,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,0.0,10000_multi_user__./queries/query_2.flux,1,1670180112.6261,1670180303.5728,190.9467,1000,False
1,1.0,10000_multi_user__./queries/query_3.flux,2,1670180304.1524,1670180334.8826,30.7301,10,False
2,2.0,10000_multi_user__./queries/query_4.flux,3,1670180335.0343,1670180344.7408,9.7065,10,False
3,3.0,10000_multi_user__./queries/query_5.flux,4,1670180344.8209,1670180377.5087,32.6878,18148,False
4,4.0,10000_multi_user__./queries/query_6.flux,5,1670180380.6106,1670180579.9408,199.3303,10,False
5,5.0,10000_multi_user__./queries/query_1.flux,6,1670180580.5602,1670180622.6943,42.1341,18764,False
6,0.0,10000_multi_user__./queries/query_2.flux,1,1670180112.6268,1670180303.4434,190.8166,1000,False
7,1.0,10000_multi_user__./queries/query_3.flux,2,1670180304.1364,1670180334.8766,30.7402,10,False
8,2.0,10000_multi_user__./queries/query_4.flux,3,1670180335.0318,1670180344.7472,9.7155,10,False
9,3.0,10000_multi_user__./queries/query_5.flux,4,1670180344.8243,1670180377.5618,32.7375,18148,False
10,4.0,10000_multi_user__./queries/query_6.flux,5,1670180380.6113,1670180579.9345,199.3232,10,False
11,5.0,10000_multi_user__./queries/query_1.flux,6,1670180580.5417,1670180623.1691,42.6273,18764,False
12,0.0,10000_multi_user__./queries/query_2.flux,1,1670180112.6275,1670180303.3283,190.7007,1000,False
13,1.0,10000_multi_user__./queries/query_3.flux,2,1670180304.1215,1670180334.885,30.7635,10,False
14,2.0,10000_multi_user__./queries/query_4.flux,3,1670180335.0275,1670180344.7532,9.7257,10,False
15,3.0,10000_multi_user__./queries/query_5.flux,4,1670180344.8236,1670180377.8385,33.015,18148,False
16,4.0,10000_multi_user__./queries/query_6.flux,5,1670180380.6282,1670180579.9332,199.305,10,False
17,5.0,10000_multi_user__./queries/query_1.flux,6,1670180580.579,1670180622.6413,42.0623,18764,False
0,,10000_multi_user__./queries/query_2.flux,1,1670335767.4494,1670335767.4494,0.0,0,True
1,,10000_multi_user__./queries/query_3.flux,2,1670336009.2047,1670336009.2047,0.0,0,True
2,,10000_multi_user__./queries/query_4.flux,3,1670336250.1049,1670336250.1049,0.0,0,True
3,,10000_multi_user__./queries/query_5.flux,4,1670336490.6937,1670336490.6937,0.0,0,True
4,,10000_multi_user__./queries/query_6.flux,5,1670336733.6479,1670336733.6479,0.0,0,True
5,,10000_multi_user__./queries/query_1.flux,6,1670336733.7066,1670337360.7843,627.0777,164220,False
0,,10000_multi_user__./queries/query_2.flux,1,1670335767.4363,1670335767.4363,0.0,0,True
1,,10000_multi_user__./queries/query_3.flux,2,1670336009.2162,1670336009.2162,0.0,0,True
2,,10000_multi_user__./queries/query_4.flux,3,1670336250.1149,1670336250.1149,0.0,0,True
3,,10000_multi_user__./queries/query_5.flux,4,1670336490.6867,1670336490.6867,0.0,0,True
4,,10000_multi_user__./queries/query_6.flux,5,1670336733.6058,1670336733.6058,0.0,0,True
5,,10000_multi_user__./queries/query_1.flux,6,1670336733.6479,1670337360.7762,627.1282,164220,False
0,,10000_multi_user__./queries/query_2.flux,1,1670335767.4809,1670335767.4809,0.0,0,True
1,,10000_multi_user__./queries/query_3.flux,2,1670336009.1714,1670336009.1715,0.0,0,True
2,,10000_multi_user__./queries/query_4.flux,3,1670336250.1893,1670336250.1893,0.0,0,True
3,,10000_multi_user__./queries/query_5.flux,4,1670336490.6885,1670336490.6885,0.0,0,True
4,,10000_multi_user__./queries/query_6.flux,5,1670336733.6477,1670336733.6477,0.0,0,True
5,,10000_multi_user__./queries/query_1.flux,6,1670336733.6846,1670337360.7774,627.0928,164220,False
