,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,100000_multi_user__./queries/query_4.q,1,1669323700.5755,1669323703.4174,2.8419,10,False
1,100000_multi_user__./queries/query_3.q,2,1669323703.4187,1669323707.3906,3.9719,10,False
2,100000_multi_user__./queries/query_2.q,3,1669323707.4067,1669323717.1037,9.697,1,False
3,100000_multi_user__./queries/query_6.q,4,1669323717.1044,1669323722.0613,4.9569,10,False
4,100000_multi_user__./queries/query_1.q,5,1669323722.0632,1669323729.9415,7.8783,3669,False
5,100000_multi_user__./queries/query_5.q,6,1669323729.9963,1669323828.8459,98.8496,10,False
0,100000_multi_user__./queries/query_4.q,1,1669323700.5754,1669323702.9429,2.3675,10,False
1,100000_multi_user__./queries/query_3.q,2,1669323702.9489,1669323705.7228,2.7738,10,False
2,100000_multi_user__./queries/query_2.q,3,1669323705.7276,1669323716.5645,10.8369,1,False
3,100000_multi_user__./queries/query_6.q,4,1669323716.5782,1669323720.1088,3.5306,10,False
4,100000_multi_user__./queries/query_1.q,5,1669323720.1693,1669323726.3939,6.2246,3669,False
5,100000_multi_user__./queries/query_5.q,6,1669323726.4805,1669323759.0521,32.5717,10,False
0,100000_multi_user__./queries/query_4.q,1,1669323700.5755,1669323703.4153,2.8398,10,False
1,100000_multi_user__./queries/query_3.q,2,1669323703.4173,1669323707.3898,3.9725,10,False
2,100000_multi_user__./queries/query_2.q,3,1669323707.4052,1669323717.1045,9.6993,1,False
3,100000_multi_user__./queries/query_6.q,4,1669323717.1052,1669323721.9883,4.8831,10,False
4,100000_multi_user__./queries/query_1.q,5,1669323722.061,1669323729.9542,7.8932,3669,False
5,100000_multi_user__./queries/query_5.q,6,1669323729.996,1669323828.8595,98.8636,10,False
0,100000_multi_user__./queries/query_4.q,1,1669323700.5755,1669323703.4189,2.8434,10,False
1,100000_multi_user__./queries/query_3.q,2,1669323703.4212,1669323707.4054,3.9842,10,False
2,100000_multi_user__./queries/query_2.q,3,1669323707.4074,1669323717.1027,9.6953,1,False
3,100000_multi_user__./queries/query_6.q,4,1669323717.1036,1669323721.9905,4.887,10,False
4,100000_multi_user__./queries/query_1.q,5,1669323722.0593,1669323729.9509,7.8916,3669,False
5,100000_multi_user__./queries/query_5.q,6,1669323729.9956,1669323828.8526,98.857,10,False
0,100000_multi_user__./queries/query_4.q,1,1669323700.5754,1669323703.4141,2.8387,10,False
1,100000_multi_user__./queries/query_3.q,2,1669323703.4205,1669323707.3847,3.9642,10,False
2,100000_multi_user__./queries/query_2.q,3,1669323707.4051,1669323717.1014,9.6963,1,False
3,100000_multi_user__./queries/query_6.q,4,1669323717.1025,1669323722.0569,4.9544,10,False
4,100000_multi_user__./queries/query_1.q,5,1669323722.0589,1669323729.9473,7.8884,3669,False
5,100000_multi_user__./queries/query_5.q,6,1669323729.9966,1669323828.8405,98.8439,10,False
