,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,100000_multi_user__query_1,1,1669487074.8958,1669487106.0696,31.1738,3629,False
1,100000_multi_user__query_2,2,1669487106.0758,1669487131.5724,25.4967,1,False
2,100000_multi_user__query_3,3,1669487131.5731,1669487212.3495,80.7763,10,False
3,100000_multi_user__query_4,4,1669487212.3608,1669487235.7805,23.4198,10,False
4,100000_multi_user__query_5,5,1669487235.7831,1669487254.2539,18.4707,10,False
5,100000_multi_user__query_6,6,1669487383.5574,1669487383.5574,0.0,0,True
0,100000_multi_user__query_1,1,1669487074.8944,1669487105.7848,30.8903,3629,False
1,100000_multi_user__query_2,2,1669487105.7953,1669487131.4032,25.608,1,False
2,100000_multi_user__query_3,3,1669487131.4084,1669487213.8856,82.4772,10,False
3,100000_multi_user__query_4,4,1669487213.8875,1669487236.1413,22.2537,10,False
4,100000_multi_user__query_5,5,1669487236.1426,1669487254.499,18.3564,10,False
5,100000_multi_user__query_6,6,1669487386.8875,1669487386.8875,0.0,0,True
0,100000_multi_user__query_1,1,1669487074.8963,1669487106.0725,31.1761,3629,False
1,100000_multi_user__query_2,2,1669487106.0744,1669487131.5385,25.4641,1,False
2,100000_multi_user__query_3,3,1669487131.5391,1669487213.8696,82.3305,10,False
3,100000_multi_user__query_4,4,1669487213.8712,1669487236.1571,22.2859,10,False
4,100000_multi_user__query_5,5,1669487236.1583,1669487254.5206,18.3623,10,False
5,100000_multi_user__query_6,6,1669487388.0271,1669487388.0271,0.0,0,True
