,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,1__query_1,1,1669386208.8439,1669386210.9914,2.1475,4223,False
1,1__query_2,2,1669386211.0087,1669386211.0654,0.0566,1,False
2,1__query_3,3,1669386211.0684,1669386211.4777,0.4093,10,False
3,1__query_4,4,1669386211.4846,1669386211.6575,0.1729,10,False
4,1__query_5,5,1669386211.6632,1669386211.7687,0.1055,1,False
5,1__query_6,6,1669386211.7737,1669386212.7998,1.026,10,False
0,1__query_1,1,1669386208.8419,1669386210.9765,2.1346,4223,False
1,1__query_2,2,1669386211.0076,1669386211.0691,0.0615,1,False
2,1__query_3,3,1669386211.0718,1669386211.5231,0.4513,10,False
3,1__query_4,4,1669386211.5297,1669386211.721,0.1913,10,False
4,1__query_5,5,1669386211.7311,1669386211.8317,0.1005,1,False
5,1__query_6,6,1669386211.8371,1669386212.877,1.0399,10,False
0,1__query_1,1,1669386208.844,1669386210.9253,2.0813,4223,False
1,1__query_2,2,1669386210.9497,1669386211.0182,0.0686,1,False
2,1__query_3,3,1669386211.0209,1669386211.4168,0.3959,10,False
3,1__query_4,4,1669386211.4241,1669386211.5624,0.1383,10,False
4,1__query_5,5,1669386211.57,1669386211.727,0.157,1,False
5,1__query_6,6,1669386211.7324,1669386212.7651,1.0327,10,False
