Id,SeqNo,TradeDate,TimeStamp,TradePrice,TradeSize,AskPrice,AskSize,BidPrice,BidSize,Type
Security_27,1,8360,32402000,31.0,5600,,-2147483648,,-2147483648,CT
Security_95,1,8360,32404000,,-2147483648,1.0,8100,,-2147483648,Q
Security_79,1,8360,32407000,39.0,5900,,-2147483648,,-2147483648,T
Security_60,1,8360,32412000,72.0,400,,-2147483648,,-2147483648,T
Security_22,1,8360,32416000,,-2147483648,18.0625,8700,,-2147483648,Q
Security_86,1,8360,32419000,,-2147483648,,-2147483648,29.0312,5300,Q
Security_4,1,8360,32420000,62.0,3200,,-2147483648,,-2147483648,T
Security_20,1,8360,32424000,,-2147483648,55.0938,9400,,-2147483648,Q
Security_38,1,8360,32427000,,-2147483648,29.0,100,,-2147483648,Q
Security_29,1,8360,32430000,,-2147483648,,-2147483648,11.0625,7800,Q
Security_92,1,8360,32433000,,-2147483648,2.0625,4400,,-2147483648,Q
Security_80,1,8360,32437000,,-2147483648,80.0312,4300,,-2147483648,Q
Security_71,1,8360,32440000,,-2147483648,,-2147483648,92.0,2700,Q
Security_96,1,8360,32441000,0.0,5400,,-2147483648,,-2147483648,T
Security_15,1,8360,32443000,31.0,8500,,-2147483648,,-2147483648,CT
Security_22,2,8360,32446000,18.0,8800,,-2147483648,,-2147483648,T
Security_95,2,8360,32450000,,-2147483648,,-2147483648,1.0,6000,Q
Security_73,1,8360,32451000,,-2147483648,66.0938,1100,,-2147483648,Q
Security_2,1,8360,32452000,,-2147483648,,-2147483648,90.0312,7300,Q
Security_51,1,8360,32452000,,-2147483648,32.0938,3900,,-2147483648,Q
Security_69,1,8360,32454000,77.0,2000,,-2147483648,,-2147483648,T
Security_46,1,8360,32459000,,-2147483648,47.0938,5300,,-2147483648,Q
Security_18,1,8360,32459000,45.0,3800,,-2147483648,,-2147483648,CT
Security_75,1,8360,32461000,,-2147483648,,-2147483648,35.0625,9300,Q
Security_64,1,8360,32461000,56.0,4700,,-2147483648,,-2147483648,CT
Security_15,2,8360,32462000,,-2147483648,31.0312,8100,,-2147483648,Q
Security_84,1,8360,32468000,46.0,7600,,-2147483648,,-2147483648,T
Security_52,1,8360,32470000,20.0,7900,,-2147483648,,-2147483648,CT
Security_54,1,8360,32473000,,-2147483648,,-2147483648,26.9688,4900,Q
Security_5,1,8360,32475000,,-2147483648,43.0312,7500,,-2147483648,Q
Security_46,2,8360,32475000,47.0,2400,,-2147483648,,-2147483648,T
