,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,1000_multi_user__./queries/query_4.q,1,1669322859.7977,1669322859.8046,0.0069,10,False
1,1000_multi_user__./queries/query_3.q,2,1669322859.8057,1669322859.815,0.0093,10,False
2,1000_multi_user__./queries/query_2.q,3,1669322859.8164,1669322859.8238,0.0074,1,False
3,1000_multi_user__./queries/query_6.q,4,1669322859.8244,1669322859.8348,0.0105,10,False
4,1000_multi_user__./queries/query_1.q,5,1669322859.8389,1669322859.8585,0.0196,4271,False
5,1000_multi_user__./queries/query_5.q,6,1669322859.886,1669322859.9173,0.0312,10,False
0,1000_multi_user__./queries/query_4.q,1,1669322859.7946,1669322859.7961,0.0015,10,False
1,1000_multi_user__./queries/query_3.q,2,1669322859.7976,1669322859.8033,0.0056,10,False
2,1000_multi_user__./queries/query_2.q,3,1669322859.8045,1669322859.8165,0.012,1,False
3,1000_multi_user__./queries/query_6.q,4,1669322859.8171,1669322859.8231,0.0061,10,False
4,1000_multi_user__./queries/query_1.q,5,1669322859.825,1669322859.8563,0.0313,4271,False
5,1000_multi_user__./queries/query_5.q,6,1669322859.882,1669322859.8894,0.0074,10,False
0,1000_multi_user__./queries/query_4.q,1,1669322859.7947,1669322859.7986,0.0039,10,False
1,1000_multi_user__./queries/query_3.q,2,1669322859.8008,1669322859.8107,0.01,10,False
2,1000_multi_user__./queries/query_2.q,3,1669322859.8142,1669322859.8188,0.0046,1,False
3,1000_multi_user__./queries/query_6.q,4,1669322859.8195,1669322859.8269,0.0074,10,False
4,1000_multi_user__./queries/query_1.q,5,1669322859.8281,1669322859.8567,0.0286,4271,False
5,1000_multi_user__./queries/query_5.q,6,1669322859.8857,1669322859.9139,0.0282,10,False
0,1000_multi_user__./queries/query_4.q,1,1669322859.7947,1669322859.7996,0.0049,10,False
1,1000_multi_user__./queries/query_3.q,2,1669322859.8014,1669322859.8116,0.0103,10,False
2,1000_multi_user__./queries/query_2.q,3,1669322859.8149,1669322859.8251,0.0103,1,False
3,1000_multi_user__./queries/query_6.q,4,1669322859.8257,1669322859.8356,0.01,10,False
4,1000_multi_user__./queries/query_1.q,5,1669322859.8383,1669322859.8575,0.0192,4271,False
5,1000_multi_user__./queries/query_5.q,6,1669322859.8874,1669322859.9158,0.0284,10,False
0,1000_multi_user__./queries/query_4.q,1,1669322859.7985,1669322859.8123,0.0139,10,False
1,1000_multi_user__./queries/query_3.q,2,1669322859.8135,1669322859.8196,0.006,10,False
2,1000_multi_user__./queries/query_2.q,3,1669322859.8206,1669322859.8282,0.0075,1,False
3,1000_multi_user__./queries/query_6.q,4,1669322859.8287,1669322859.8421,0.0135,10,False
4,1000_multi_user__./queries/query_1.q,5,1669322859.8438,1669322859.8573,0.0135,4271,False
5,1000_multi_user__./queries/query_5.q,6,1669322859.887,1669322859.915,0.028,10,False
