tickid,id,seqno,tradedate,ts,tradeprice,tradesize,askprice,asksize,bidprice,bidsize,type_
10,Security_27,1,2022-11-21,09:00:02,31.0,5600.0,,,,,CT 
19,Security_95,1,2022-11-21,09:00:04,,,1.0,8100.0,,,Q  
30,Security_79,1,2022-11-21,09:00:07,39.0,5900.0,,,,,T  
50,Security_60,1,2022-11-21,09:00:12,72.0,400.0,,,,,T  
63,Security_22,1,2022-11-21,09:00:16,,,18.0625,8700.0,,,Q  
77,Security_86,1,2022-11-21,09:00:19,,,,,29.0312,5300.0,Q  
81,Security_4,1,2022-11-21,09:00:20,62.0,3200.0,,,,,T  
94,Security_20,1,2022-11-21,09:00:24,,,55.0938,9400.0,,,Q  
109,Security_38,1,2022-11-21,09:00:27,,,29.0,100.0,,,Q  
121,Security_29,1,2022-11-21,09:00:30,,,,,11.0625,7800.0,Q  
132,Security_92,1,2022-11-21,09:00:33,,,2.0625,4400.0,,,Q  
148,Security_80,1,2022-11-21,09:00:37,,,80.0312,4300.0,,,Q  
158,Security_71,1,2022-11-21,09:00:40,,,,,92.0,2700.0,Q  
162,Security_96,1,2022-11-21,09:00:41,0.0,5400.0,,,,,T  
170,Security_15,1,2022-11-21,09:00:43,31.0,8500.0,,,,,CT 
184,Security_22,2,2022-11-21,09:00:46,18.0,8800.0,,,,,T  
198,Security_95,2,2022-11-21,09:00:50,,,,,1.0,6000.0,Q  
203,Security_73,1,2022-11-21,09:00:51,,,66.0938,1100.0,,,Q  
208,Security_2,1,2022-11-21,09:00:52,,,,,90.0312,7300.0,Q  
209,Security_51,1,2022-11-21,09:00:52,,,32.0938,3900.0,,,Q  
214,Security_69,1,2022-11-21,09:00:54,77.0,2000.0,,,,,T  
234,Security_46,1,2022-11-21,09:00:59,,,47.0938,5300.0,,,Q  
237,Security_18,1,2022-11-21,09:00:59,45.0,3800.0,,,,,CT 
244,Security_75,1,2022-11-21,09:01:01,,,,,35.0625,9300.0,Q  
245,Security_64,1,2022-11-21,09:01:01,56.0,4700.0,,,,,CT 
248,Security_15,2,2022-11-21,09:01:02,,,31.0312,8100.0,,,Q  
272,Security_84,1,2022-11-21,09:01:08,46.0,7600.0,,,,,T  
279,Security_52,1,2022-11-21,09:01:10,20.0,7900.0,,,,,CT 
291,Security_54,1,2022-11-21,09:01:13,,,,,26.9688,4900.0,Q  
297,Security_5,1,2022-11-21,09:01:15,,,43.0312,7500.0,,,Q  
299,Security_46,2,2022-11-21,09:01:15,47.0,2400.0,,,,,T  
312,Security_82,1,2022-11-21,09:01:19,31.0,600.0,,,,,T  
325,Security_20,2,2022-11-21,09:01:22,,,,,55.0312,8500.0,Q  
327,Security_16,1,2022-11-21,09:01:22,97.0,8900.0,,,,,T  
357,Security_92,2,2022-11-21,09:01:30,2.0,9500.0,,,,,CT 
359,Security_69,2,2022-11-21,09:01:31,77.0,3600.0,,,,,CT 
363,Security_81,1,2022-11-21,09:01:32,95.0,7100.0,,,,,CT 
364,Security_65,1,2022-11-21,09:01:32,54.0,3500.0,,,,,T  
388,Security_25,1,2022-11-21,09:01:38,75.0,2500.0,,,,,CT 
398,Security_22,3,2022-11-21,09:01:40,,,,,18.0312,3500.0,Q  
408,Security_58,1,2022-11-21,09:01:43,49.0,5800.0,,,,,T  
422,Security_71,2,2022-11-21,09:01:46,92.0,500.0,,,,,CT 
427,Security_49,1,2022-11-21,09:01:48,,,,,61.9375,3600.0,Q  
441,Security_17,1,2022-11-21,09:01:51,,,76.0625,7700.0,,,Q  
447,Security_48,1,2022-11-21,09:01:53,,,,,63.0625,300.0,Q  
452,Security_16,2,2022-11-21,09:01:54,97.0,6500.0,,,,,T  
461,Security_60,2,2022-11-21,09:01:56,,,72.0,6500.0,,,Q  
479,Security_36,1,2022-11-21,09:02:01,,,,,51.0,9700.0,Q  
487,Security_80,2,2022-11-21,09:02:03,80.0,6500.0,,,,,T  
489,Security_88,1,2022-11-21,09:02:03,,,32.0938,4300.0,,,Q  
492,Security_93,1,2022-11-21,09:02:04,,,73.0625,400.0,,,Q  
502,Security_63,1,2022-11-21,09:02:07,15.0,3700.0,,,,,T  
512,Security_93,2,2022-11-21,09:02:09,,,73.0625,7600.0,,,Q  
523,Security_93,3,2022-11-21,09:02:12,73.0,6600.0,,,,,CT 
528,Security_60,3,2022-11-21,09:02:13,,,72.0,1100.0,,,Q  
534,Security_27,2,2022-11-21,09:02:15,,,,,31.0312,3700.0,Q  
538,Security_5,2,2022-11-21,09:02:16,43.0,300.0,,,,,CT 
547,Security_54,2,2022-11-21,09:02:18,26.9688,3400.0,,,,,CT 
560,Security_17,2,2022-11-21,09:02:21,,,,,75.9688,3400.0,Q  
568,Security_68,1,2022-11-21,09:02:23,33.0,600.0,,,,,T  
592,Security_18,2,2022-11-21,09:02:29,,,45.0938,7000.0,,,Q  
600,Security_23,1,2022-11-21,09:02:31,,,,,52.9375,5000.0,Q  
612,Security_87,1,2022-11-21,09:02:34,98.0,2200.0,,,,,T  
619,Security_33,1,2022-11-21,09:02:36,,,69.0,8800.0,,,Q  
621,Security_52,2,2022-11-21,09:02:36,20.0,1800.0,,,,,CT 
622,Security_9,1,2022-11-21,09:02:37,,,61.0,800.0,,,Q  
625,Security_37,1,2022-11-21,09:02:37,,,97.0,2400.0,,,Q  
627,Security_72,1,2022-11-21,09:02:38,81.0,9800.0,,,,,CT 
635,Security_44,1,2022-11-21,09:02:40,15.0,6600.0,,,,,T  
650,Security_72,2,2022-11-21,09:02:44,,,,,81.0312,8700.0,Q  
653,Security_49,2,2022-11-21,09:02:44,,,,,61.9375,6300.0,Q  
691,Security_48,2,2022-11-21,09:02:54,63.0625,6200.0,,,,,CT 
695,Security_4,2,2022-11-21,09:02:55,,,,,62.0625,4900.0,Q  
698,Security_63,2,2022-11-21,09:02:56,,,15.0,5900.0,,,Q  
701,Security_92,3,2022-11-21,09:02:56,,,2.0938,7900.0,,,Q  
702,Security_26,1,2022-11-21,09:02:57,5.0,4200.0,,,,,T  
707,Security_27,3,2022-11-21,09:02:58,31.0312,3900.0,,,,,T  
709,Security_75,2,2022-11-21,09:02:58,,,,,35.0625,1600.0,Q  
721,Security_11,1,2022-11-21,09:03:01,,,73.0938,1300.0,,,Q  
749,Security_63,3,2022-11-21,09:03:09,15.0,100.0,,,,,T  
756,Security_73,2,2022-11-21,09:03:10,66.0,5600.0,,,,,CT 
759,Security_45,1,2022-11-21,09:03:11,,,87.0,9100.0,,,Q  
760,Security_16,3,2022-11-21,09:03:11,97.0,700.0,,,,,CT 
779,Security_22,4,2022-11-21,09:03:16,18.0312,8000.0,,,,,T  
790,Security_60,4,2022-11-21,09:03:19,72.0,3900.0,,,,,CT 
793,Security_28,1,2022-11-21,09:03:20,,,94.0312,7000.0,,,Q  
802,Security_5,3,2022-11-21,09:03:22,,,43.0625,5800.0,,,Q  
805,Security_1,1,2022-11-21,09:03:23,,,4.0,7500.0,,,Q  
810,Security_5,4,2022-11-21,09:03:24,43.0,2600.0,,,,,T  
812,Security_90,1,2022-11-21,09:03:25,50.0,5800.0,,,,,CT 
815,Security_71,3,2022-11-21,09:03:25,92.0,7500.0,,,,,T  
818,Security_83,1,2022-11-21,09:03:26,,,82.0938,1400.0,,,Q  
827,Security_93,4,2022-11-21,09:03:29,,,,,73.0,5000.0,Q  
847,Security_33,2,2022-11-21,09:03:34,69.0,2100.0,,,,,T  
848,Security_39,1,2022-11-21,09:03:34,,,,,76.0625,9000.0,Q  
850,Security_20,3,2022-11-21,09:03:34,,,,,55.0312,6700.0,Q  
852,Security_23,2,2022-11-21,09:03:35,,,53.0312,2800.0,,,Q  
863,Security_84,2,2022-11-21,09:03:38,,,,,46.0,2400.0,Q  
875,Security_52,3,2022-11-21,09:03:41,20.0,4800.0,,,,,T  
879,Security_66,1,2022-11-21,09:03:42,,,,,3.0,1200.0,Q  
887,Security_1,2,2022-11-21,09:03:44,4.0,5800.0,,,,,CT 
896,Security_90,2,2022-11-21,09:03:46,50.0,6200.0,,,,,T  
897,Security_81,2,2022-11-21,09:03:46,95.0,6000.0,,,,,T  
924,Security_7,1,2022-11-21,09:03:53,,,47.0,5300.0,,,Q  
925,Security_91,1,2022-11-21,09:03:53,,,42.0,5000.0,,,Q  
937,Security_70,1,2022-11-21,09:03:56,,,,,60.9375,7500.0,Q  
943,Security_68,2,2022-11-21,09:03:58,33.0,700.0,,,,,T  
954,Security_7,2,2022-11-21,09:04:01,47.0,2100.0,,,,,T  
959,Security_54,3,2022-11-21,09:04:02,,,26.9688,6400.0,,,Q  
961,Security_63,4,2022-11-21,09:04:02,15.0,7100.0,,,,,CT 
987,Security_77,1,2022-11-21,09:04:09,49.0,1900.0,,,,,CT 
990,Security_86,2,2022-11-21,09:04:10,29.0312,5800.0,,,,,T  
1013,Security_2,2,2022-11-21,09:04:15,,,90.0625,4800.0,,,Q  
1016,Security_56,1,2022-11-21,09:04:16,,,25.0312,7100.0,,,Q  
1020,Security_31,1,2022-11-21,09:04:17,,,68.0938,9200.0,,,Q  
1059,Security_77,2,2022-11-21,09:04:27,,,,,48.9375,1600.0,Q  
1076,Security_20,4,2022-11-21,09:04:31,55.0312,3800.0,,,,,CT 
1091,Security_62,1,2022-11-21,09:04:35,53.0,2100.0,,,,,CT 
1101,Security_32,1,2022-11-21,09:04:38,82.0,3800.0,,,,,T  
1118,Security_95,3,2022-11-21,09:04:42,,,,,1.0,3300.0,Q  
1119,Security_30,1,2022-11-21,09:04:42,,,,,22.0,9700.0,Q  
1140,Security_50,1,2022-11-21,09:04:47,,,43.0312,2700.0,,,Q  
1178,Security_6,1,2022-11-21,09:04:57,58.0,7500.0,,,,,T  
1180,Security_39,2,2022-11-21,09:04:58,76.0625,700.0,,,,,T  
1182,Security_18,3,2022-11-21,09:04:58,45.0,8400.0,,,,,T  
1194,Security_79,2,2022-11-21,09:05:01,39.0,2500.0,,,,,CT 
1206,Security_59,1,2022-11-21,09:05:04,,,,,90.0625,4700.0,Q  
1210,Security_0,1,2022-11-21,09:05:05,95.0,5500.0,,,,,T  
1237,Security_28,2,2022-11-21,09:05:12,,,,,94.0312,9100.0,Q  
1241,Security_52,4,2022-11-21,09:05:13,,,20.0938,2100.0,,,Q  
1277,Security_5,5,2022-11-21,09:05:22,,,43.0625,1800.0,,,Q  
1297,Security_11,2,2022-11-21,09:05:27,,,73.0,8300.0,,,Q  
1310,Security_95,4,2022-11-21,09:05:30,1.0,6700.0,,,,,T  
1311,Security_51,2,2022-11-21,09:05:30,,,32.0938,2300.0,,,Q  
1353,Security_78,1,2022-11-21,09:05:41,,,68.0938,6000.0,,,Q  
1357,Security_29,2,2022-11-21,09:05:42,11.0625,2500.0,,,,,CT 
1358,Security_13,1,2022-11-21,09:05:43,,,,,27.0312,200.0,Q  
1370,Security_85,1,2022-11-21,09:05:46,27.0,900.0,,,,,T  
1374,Security_18,4,2022-11-21,09:05:47,45.0,6000.0,,,,,T  
1378,Security_55,1,2022-11-21,09:05:48,,,27.0,1200.0,,,Q  
1405,Security_76,1,2022-11-21,09:05:55,,,83.0625,6700.0,,,Q  
1408,Security_89,1,2022-11-21,09:05:56,,,,,85.0625,3000.0,Q  
1413,Security_16,4,2022-11-21,09:05:57,97.0,700.0,,,,,T  
1415,Security_83,2,2022-11-21,09:05:58,82.0,6400.0,,,,,CT 
1428,Security_77,3,2022-11-21,09:06:01,,,49.0,6600.0,,,Q  
1438,Security_13,2,2022-11-21,09:06:03,,,,,26.9688,3500.0,Q  
1473,Security_44,2,2022-11-21,09:06:12,15.0,6300.0,,,,,T  
1474,Security_90,3,2022-11-21,09:06:12,,,,,50.0,9000.0,Q  
1479,Security_84,3,2022-11-21,09:06:14,,,46.0,7100.0,,,Q  
1495,Security_85,2,2022-11-21,09:06:18,27.0,3200.0,,,,,CT 
1496,Security_86,3,2022-11-21,09:06:18,29.0312,9200.0,,,,,T  
1521,Security_94,1,2022-11-21,09:06:24,,,,,66.9688,8800.0,Q  
1526,Security_36,2,2022-11-21,09:06:26,51.0,4700.0,,,,,T  
1538,Security_21,1,2022-11-21,09:06:29,,,12.0312,5200.0,,,Q  
1543,Security_81,3,2022-11-21,09:06:30,,,,,95.0,5300.0,Q  
1562,Security_24,1,2022-11-21,09:06:35,46.0,8300.0,,,,,CT 
1582,Security_86,4,2022-11-21,09:06:40,29.0312,3600.0,,,,,T  
1598,Security_38,2,2022-11-21,09:06:44,29.0,5300.0,,,,,CT 
1602,Security_88,2,2022-11-21,09:06:45,,,32.0938,4700.0,,,Q  
1603,Security_61,1,2022-11-21,09:06:45,,,53.0,2900.0,,,Q  
1605,Security_85,3,2022-11-21,09:06:46,,,,,26.9688,3100.0,Q  
1607,Security_46,3,2022-11-21,09:06:46,47.0,4700.0,,,,,T  
1611,Security_88,3,2022-11-21,09:06:47,32.0,9400.0,,,,,CT 
1637,Security_51,3,2022-11-21,09:06:54,,,32.0,8600.0,,,Q  
1644,Security_16,5,2022-11-21,09:06:56,97.0,4800.0,,,,,CT 
1645,Security_35,1,2022-11-21,09:06:56,58.0,8900.0,,,,,CT 
1651,Security_29,3,2022-11-21,09:06:57,11.0625,2700.0,,,,,T  
1659,Security_94,2,2022-11-21,09:06:59,,,,,66.9375,9400.0,Q  
1662,Security_8,1,2022-11-21,09:07:00,,,81.0312,8100.0,,,Q  
1663,Security_63,5,2022-11-21,09:07:00,15.0,400.0,,,,,CT 
1692,Security_50,2,2022-11-21,09:07:08,,,43.0,6100.0,,,Q  
1695,Security_65,2,2022-11-21,09:07:08,54.0,600.0,,,,,CT 
1708,Security_34,1,2022-11-21,09:07:12,,,52.0312,3400.0,,,Q  
1731,Security_13,3,2022-11-21,09:07:18,,,26.9688,1100.0,,,Q  
1735,Security_46,4,2022-11-21,09:07:19,47.0,2700.0,,,,,T  
1759,Security_16,6,2022-11-21,09:07:25,97.0,1000.0,,,,,CT 
1768,Security_91,2,2022-11-21,09:07:27,42.0,7300.0,,,,,CT 
1778,Security_13,4,2022-11-21,09:07:29,,,,,26.9375,7700.0,Q  
1788,Security_28,3,2022-11-21,09:07:32,,,94.125,6200.0,,,Q  
1800,Security_32,2,2022-11-21,09:07:35,,,82.0312,3700.0,,,Q  
1813,Security_71,4,2022-11-21,09:07:38,,,,,92.0625,5500.0,Q  
1828,Security_68,3,2022-11-21,09:07:42,,,33.0,1400.0,,,Q  
1867,Security_47,1,2022-11-21,09:07:52,,,63.0,9200.0,,,Q  
1871,Security_85,4,2022-11-21,09:07:53,,,,,27.0312,5900.0,Q  
1902,Security_64,2,2022-11-21,09:08:01,56.0,6800.0,,,,,T  
1905,Security_97,1,2022-11-21,09:08:01,84.0,2000.0,,,,,T  
1914,Security_1,3,2022-11-21,09:08:04,4.0,3500.0,,,,,T  
1917,Security_39,3,2022-11-21,09:08:04,,,76.1562,200.0,,,Q  
1918,Security_8,2,2022-11-21,09:08:05,,,,,81.0625,7100.0,Q  
1921,Security_59,2,2022-11-21,09:08:05,90.0625,8600.0,,,,,CT 
1935,Security_37,2,2022-11-21,09:08:09,97.0,5300.0,,,,,T  
1941,Security_87,2,2022-11-21,09:08:10,,,,,98.0,4900.0,Q  
1946,Security_77,4,2022-11-21,09:08:12,,,,,49.0,2600.0,Q  
1947,Security_30,2,2022-11-21,09:08:12,22.0,3000.0,,,,,T  
1961,Security_99,1,2022-11-21,09:08:15,87.0,6400.0,,,,,T  
1976,Security_47,2,2022-11-21,09:08:19,,,,,63.0312,6600.0,Q  
2015,Security_12,1,2022-11-21,09:08:29,20.0,2400.0,,,,,T  
2022,Security_17,3,2022-11-21,09:08:31,75.9688,3200.0,,,,,CT 
2032,Security_40,1,2022-11-21,09:08:34,10.0,5400.0,,,,,T  
2033,Security_6,2,2022-11-21,09:08:34,58.0,1900.0,,,,,CT 
2043,Security_56,2,2022-11-21,09:08:36,25.0,8200.0,,,,,CT 
2114,Security_25,2,2022-11-21,09:08:54,,,75.0625,2600.0,,,Q  
2121,Security_2,3,2022-11-21,09:08:56,,,,,90.0938,700.0,Q  
2128,Security_70,2,2022-11-21,09:08:58,,,,,60.9062,7200.0,Q  
2144,Security_71,5,2022-11-21,09:09:02,92.0625,9200.0,,,,,CT 
2146,Security_24,2,2022-11-21,09:09:02,,,,,46.0,8100.0,Q  
2147,Security_58,2,2022-11-21,09:09:03,49.0,7100.0,,,,,CT 
2154,Security_47,3,2022-11-21,09:09:04,,,63.125,3300.0,,,Q  
2158,Security_28,4,2022-11-21,09:09:05,94.0312,9500.0,,,,,CT 
2160,Security_11,3,2022-11-21,09:09:06,73.0,4600.0,,,,,T  
2167,Security_91,3,2022-11-21,09:09:08,42.0,4400.0,,,,,T  
2187,Security_58,3,2022-11-21,09:09:13,,,,,49.0,300.0,Q  
2193,Security_40,2,2022-11-21,09:09:14,10.0,9100.0,,,,,T  
2215,Security_46,5,2022-11-21,09:09:20,47.0,2700.0,,,,,CT 
2225,Security_59,3,2022-11-21,09:09:22,,,,,90.0312,1500.0,Q  
2238,Security_66,2,2022-11-21,09:09:25,,,,,2.9375,7300.0,Q  
2250,Security_46,6,2022-11-21,09:09:28,,,,,47.0,2400.0,Q  
2251,Security_38,3,2022-11-21,09:09:29,29.0,1000.0,,,,,CT 
2259,Security_48,3,2022-11-21,09:09:31,,,63.125,7500.0,,,Q  
2266,Security_89,2,2022-11-21,09:09:32,85.0625,4200.0,,,,,T  
2270,Security_75,3,2022-11-21,09:09:33,35.0625,2000.0,,,,,CT 
2272,Security_9,2,2022-11-21,09:09:34,61.0,1800.0,,,,,T  
2283,Security_12,2,2022-11-21,09:09:37,20.0,6100.0,,,,,CT 
2284,Security_4,3,2022-11-21,09:09:37,62.0625,8300.0,,,,,T  
2292,Security_44,3,2022-11-21,09:09:39,,,,,15.0625,9600.0,Q  
2294,Security_54,4,2022-11-21,09:09:39,26.9688,5800.0,,,,,CT 
2297,Security_38,4,2022-11-21,09:09:40,29.0,7600.0,,,,,CT 
2302,Security_85,5,2022-11-21,09:09:41,27.0312,5000.0,,,,,T  
2339,Security_52,5,2022-11-21,09:09:51,20.0,600.0,,,,,T  
2377,Security_36,3,2022-11-21,09:10:00,,,,,50.9688,1500.0,Q  
2382,Security_37,3,2022-11-21,09:10:01,,,97.0938,7800.0,,,Q  
2390,Security_16,7,2022-11-21,09:10:03,,,97.0625,8300.0,,,Q  
2420,Security_47,4,2022-11-21,09:10:11,63.0312,1900.0,,,,,T  
3189,Security_49,3,2022-11-21,09:13:26,,,,,62.0,4000.0,Q  
2454,Security_31,2,2022-11-21,09:10:20,68.0,3000.0,,,,,CT 
2458,Security_91,4,2022-11-21,09:10:21,,,42.0938,5800.0,,,Q  
2463,Security_28,5,2022-11-21,09:10:22,94.0312,1300.0,,,,,T  
2465,Security_5,6,2022-11-21,09:10:22,,,,,43.0,1600.0,Q  
2471,Security_89,3,2022-11-21,09:10:24,,,,,85.0312,400.0,Q  
2473,Security_11,4,2022-11-21,09:10:24,,,73.0625,3500.0,,,Q  
2499,Security_6,3,2022-11-21,09:10:31,58.0,3400.0,,,,,CT 
2527,Security_69,3,2022-11-21,09:10:38,77.0,6400.0,,,,,T  
2535,Security_11,5,2022-11-21,09:10:40,,,,,72.9688,6100.0,Q  
2545,Security_27,4,2022-11-21,09:10:42,,,31.125,5100.0,,,Q  
2552,Security_93,5,2022-11-21,09:10:44,,,,,73.0312,4500.0,Q  
2557,Security_21,2,2022-11-21,09:10:45,,,,,12.0312,5500.0,Q  
2563,Security_46,7,2022-11-21,09:10:47,47.0,7100.0,,,,,CT 
2587,Security_82,2,2022-11-21,09:10:53,31.0,2000.0,,,,,CT 
2601,Security_60,5,2022-11-21,09:10:57,72.0,400.0,,,,,CT 
2614,Security_76,2,2022-11-21,09:11:00,,,83.0625,5400.0,,,Q  
2615,Security_4,4,2022-11-21,09:11:00,,,,,62.0625,200.0,Q  
2619,Security_41,1,2022-11-21,09:11:01,,,16.0,4500.0,,,Q  
2624,Security_46,8,2022-11-21,09:11:02,47.0,4600.0,,,,,CT 
2645,Security_59,4,2022-11-21,09:11:08,,,,,90.0312,3800.0,Q  
2650,Security_21,3,2022-11-21,09:11:09,12.0312,3000.0,,,,,T  
2652,Security_39,4,2022-11-21,09:11:10,76.0625,7400.0,,,,,CT 
2658,Security_73,3,2022-11-21,09:11:11,,,66.0625,6300.0,,,Q  
2659,Security_23,3,2022-11-21,09:11:11,52.9375,4200.0,,,,,T  
2666,Security_2,4,2022-11-21,09:11:13,,,,,90.0312,3200.0,Q  
2670,Security_48,4,2022-11-21,09:11:14,63.0625,4700.0,,,,,T  
