,run_id,query_id,start_time,end_time,elapsed_time,row_count,error
0,10000_multi_user__query_1,1,1669485958.2848,1669485960.3968,2.112,3771,False
1,10000_multi_user__query_2,2,1669485960.4027,1669485961.044,0.6413,1,False
2,10000_multi_user__query_3,3,1669485961.045,1669485965.6461,4.6011,10,False
3,10000_multi_user__query_4,4,1669485965.647,1669485967.2482,1.6011,10,False
4,10000_multi_user__query_5,5,1669485967.2491,1669485968.2716,1.0225,10,False
5,10000_multi_user__query_6,6,1669485971.0551,1669485971.0551,0.0,0,True
0,10000_multi_user__query_1,1,1669485958.2826,1669485960.4224,2.1398,3771,False
1,10000_multi_user__query_2,2,1669485960.4245,1669485961.0684,0.6439,1,False
2,10000_multi_user__query_3,3,1669485961.0694,1669485965.5793,4.5099,10,False
3,10000_multi_user__query_4,4,1669485965.5805,1669485967.0344,1.4539,10,False
4,10000_multi_user__query_5,5,1669485967.0357,1669485968.0286,0.9929,10,False
5,10000_multi_user__query_6,6,1669485970.7088,1669485970.7088,0.0,0,True
0,10000_multi_user__query_1,1,1669485958.2842,1669485960.3598,2.0755,3771,False
1,10000_multi_user__query_2,2,1669485960.3635,1669485960.9956,0.6321,1,False
2,10000_multi_user__query_3,3,1669485960.9966,1669485965.6388,4.6423,10,False
3,10000_multi_user__query_4,4,1669485965.6397,1669485967.0845,1.4447,10,False
4,10000_multi_user__query_5,5,1669485967.0854,1669485968.1256,1.0402,10,False
5,10000_multi_user__query_6,6,1669485970.9408,1669485970.9408,0.0,0,True
